NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 8 4 1,150,200,0.15,0.2,0.08,75,0.957013889
16 8 4 1,150,350,0.15,0.2,0.08,75,0.943541667
16 8 4 1,150,350,0.2,0.2,0.08,75,0.943263889
16 8 4 1,150,350,0.01,0.2,0.08,75,0.942430556
16 8 4 1,150,50,0.01,0.2,0.08,75,0.941597222
16 8 4 1,150,200,0.01,0.2,0.08,75,0.940625
16 8 4 1,150,100,0.15,0.2,0.08,75,0.937222222
16 8 4 1,150,250,0.15,0.2,0.08,75,0.936666667
16 8 4 1,150,250,0.05,0.2,0.08,75,0.936041667
16 8 4 1,150,150,0.15,0.2,0.08,75,0.936041667
16 8 4 1,150,200,0.4,0.2,0.08,75,0.934097222
16 8 4 1,150,350,0.05,0.2,0.08,75,0.932291667
16 8 4 1,150,250,0.1,0.2,0.08,75,0.931388889
16 8 4 1,150,250,0.2,0.2,0.08,75,0.930208333
16 8 4 1,150,250,0.01,0.2,0.08,75,0.929722222
16 8 4 1,150,50,0.3,0.2,0.08,75,0.927986111
16 8 4 1,150,350,0.4,0.2,0.08,75,0.927847222
16 8 4 1,150,150,0.1,0.2,0.08,75,0.926319444
16 8 4 1,150,100,0.01,0.2,0.08,75,0.925347222
16 8 4 1,150,100,0.05,0.2,0.08,75,0.920416667
16 8 4 1,150,200,0.3,0.2,0.08,75,0.918958333
16 8 4 1,150,100,0.3,0.2,0.08,75,0.918611111
16 8 4 1,150,350,0.3,0.2,0.08,75,0.918402778
16 8 4 1,150,250,0.4,0.2,0.08,75,0.918055556
16 8 4 1,150,200,0.05,0.2,0.08,75,0.915555556
16 8 4 1,150,150,0.4,0.2,0.08,75,0.915069444
16 8 4 1,150,50,0.2,0.2,0.08,75,0.911666667
16 8 4 1,150,150,0.05,0.2,0.08,75,0.911388889
16 8 4 1,150,350,0.1,0.2,0.08,75,0.910208333
16 8 4 1,150,100,0.1,0.2,0.08,75,0.909375
16 8 4 1,150,50,0.1,0.2,0.08,75,0.906388889
16 8 4 1,150,50,0.15,0.2,0.08,75,0.905277778
16 8 4 1,150,150,0.2,0.2,0.08,75,0.902361111
16 8 4 1,150,150,0.3,0.2,0.08,75,0.902083333
16 8 4 1,150,200,0.2,0.2,0.08,75,0.902013889
16 8 4 1,150,50,0.4,0.2,0.08,75,0.898958333
16 8 4 1,150,200,0.1,0.2,0.08,75,0.898888889
16 8 4 1,150,100,0.2,0.2,0.08,75,0.897777778
16 8 4 1,150,150,0.01,0.2,0.08,75,0.8975
16 8 4 1,150,50,0.05,0.2,0.08,75,0.893958333
16 8 4 1,150,250,0.3,0.2,0.08,75,0.886180556
16 8 4 1,150,100,0.4,0.2,0.08,75,0.874791667
